施設ID,橋梁名,路線名,管理者,管理事務所,緯度,経度,架設年度,橋長,幅員,点検年度,判定区分,措置状況,更新日時
"35.82284,139.83430",西岩橋,県道平方東京線,埼玉県,越谷県土整備事務所,35.82285,139.83433,1968,4.7,10.2,2025,1,0,2026-02-12T16:13:10+09:00
"35.82306,139.85097",共和橋（上り）,県道八潮三郷線,埼玉県,越谷県土整備事務所,35.82306,139.85097,1980,515.9,6.4,2022,2,8,2025-11-01T00:00:00+09:00
"35.82315,139.85063",共和橋（下り）,県道八潮三郷線,埼玉県,越谷県土整備事務所,35.82315,139.85063,1980,478.3,6.4,2022,2,8,2025-11-01T00:00:00+09:00
"35.82321,139.83937",市道2021-2号線橋,市道2021号線,八潮市,,35.82321,139.83937,,2.1,12.5,0,8,9,2026-05-22T13:56:18+09:00
"35.82333,139.82889",小作田橋,市道2226号線,八潮市,八潮市,35.82333,139.82889,1982,14.0,10.0,2022,2,8,2025-11-01T00:00:00+09:00
"35.82446,139.83798",鶴ケ曽根橋,県道平方東京線,埼玉県,越谷県土整備事務所,35.82446,139.83799,1965,3.5,6.8,2025,1,0,2026-02-12T16:15:29+09:00
"35.82494,139.84579",市道0566号線橋,市道0566号線,八潮市,八潮市,35.82494,139.84579,,3.0,12.1,2024,1,0,2025-11-01T00:00:00+09:00
"35.82500,139.82528",市道2127号線橋,市道2127号線,八潮市,八潮市,35.825,139.82528,,2.0,11.0,2025,1,0,2026-03-19T16:34:45+09:00
"35.82509,139.83731",市道2279号線橋,市道2279号線,八潮市,八潮市,35.82509,139.83731,,2.4,6.0,2025,1,0,2026-03-19T16:38:02+09:00
"35.82528,139.82889",小松橋,市道0140号線,八潮市,八潮市,35.82528,139.82889,1988,14.0,12.8,2022,1,0,2025-11-01T00:00:00+09:00
"35.82601,139.83310",市道0140-1号線橋,市道0140号線,八潮市,八潮市,35.82601,139.8331,,4.1,22.6,2025,2,8,2026-03-19T16:21:29+09:00
"35.82663,139.83577",市道0140-2号線橋,市道0140号線,八潮市,八潮市,35.82663,139.83577,,4.9,12.0,2025,2,8,2026-03-19T16:21:58+09:00
"35.82722,139.82861",新川西歩道橋,市道2281号線,八潮市,八潮市,35.82722,139.82861,1980,14.0,4.8,2022,2,8,2025-11-01T00:00:00+09:00
"35.82809,139.81384",手代新橋,県道草加八潮三郷線,埼玉県,越谷県土整備事務所,35.82809,139.81384,1977,58.8,16.0,2021,2,8,2025-11-01T00:00:00+09:00
"35.82868,139.81560",市道3009号線橋,市道3009号線,八潮市,八潮市,35.82868,139.8156,,2.6,5.5,2025,2,8,2026-03-19T16:40:12+09:00
"35.82972,139.82806",伊草橋,市道0780号線,八潮市,八潮市,35.82972,139.82806,,14.0,6.9,2022,1,0,2025-11-01T00:00:00+09:00
"35.83120,139.82790",伊草天神橋,県道草加八潮三郷線,埼玉県,越谷県土整備事務所,35.8312,139.8279,1989,14.4,16.8,2021,2,8,2025-11-01T00:00:00+09:00
"35.83196,139.82785",伊草新橋,市道2302号線,八潮市,,35.83196,139.82785,,12.4,10.0,2024,1,0,2025-11-01T00:00:00+09:00
"35.83221,139.83172",八條小橋,県道草加八潮三郷線,埼玉県,越谷県土整備事務所,35.83222,139.83169,2016,4.5,26.8,2025,1,0,2026-02-12T15:56:25+09:00
"35.83362,139.83161",末廣橋,市道1353号線,八潮市,八潮市,35.83362,139.83161,1996,6.5,12.7,2025,1,0,2026-03-19T16:30:38+09:00
"35.83582,139.83217",布袋橋,市道1327号線,八潮市,八潮市,35.83582,139.83217,1995,6.8,12.8,2025,1,0,2026-03-19T16:31:01+09:00
"35.83705,139.83288",毘沙門橋,市道1358号線,八潮市,八潮市,35.83705,139.83288,1996,6.9,6.3,2025,1,0,2026-03-19T16:31:27+09:00
"35.83791,139.83332",弁財橋,市道1321号線,八潮市,八潮市,35.83791,139.83332,1995,6.9,11.8,2025,2,8,2026-03-19T16:31:51+09:00
"35.83833,139.83356",恵比寿橋,市道1319号線,八潮市,八潮市,35.83833,139.83356,1995,6.9,4.2,2025,2,8,2026-03-19T16:32:14+09:00
"35.83883,139.83384",福禄橋,市道1287号線,八潮市,八潮市,35.83883,139.83384,1995,6.9,10.2,2025,2,8,2026-03-19T16:32:40+09:00
"35.83951,139.83429",大黒橋,市道1290号線,八潮市,八潮市,35.83951,139.83429,1995,6.9,9.8,2025,1,0,2026-03-19T16:33:05+09:00
"35.84025,139.83468",寿老橋,市道1283号線,八潮市,八潮市,35.84025,139.83468,1995,6.9,8.2,2025,1,0,2026-03-19T16:34:00+09:00
"35.84082,139.84181",幸之宮橋,県道平方東京線,埼玉県,越谷県土整備事務所,35.84094,139.8418,1988,27.1,12.0,2025,1,0,2026-02-12T14:35:33+09:00
"35.84095,139.83621",市道0110号線橋,市道0110号線,八潮市,八潮市,35.84095,139.83621,,4.2,9.6,2025,1,0,2026-03-19T16:23:28+09:00
"35.84111,139.83972",幸和橋,市道1394号線,八潮市,八潮市,35.84111,139.83972,1993,24.8,5.2,2021,1,0,2025-11-01T00:00:00+09:00
"35.84306,139.83861",和平橋,市道0500号線,八潮市,八潮市,35.84306,139.83861,1989,25.7,7.2,2021,2,8,2025-11-01T00:00:00+09:00
"35.84449,139.84109",潮郷橋右岸斜路橋(上り),国道298号,関東地方整備局,北首都国道事務所,35.84449,139.84109,1994,60.9,4.0,2025,2,8,2026-07-03T13:49:22+09:00
"35.84451,139.84177",潮郷橋(上り),国道298号,関東地方整備局,北首都国道事務所,35.84451,139.84177,1994,238.9,13.5,2025,2,8,2026-07-02T15:54:10+09:00
"35.84461,139.84167",中川橋,常磐自動車道,NEXCO東日本,三郷管理事務所,35.84461,139.84167,1991,239.0,10.0,2023,2,8,2026-05-21T18:37:17+09:00
"35.84471,139.84167",中川橋,常磐自動車道,NEXCO東日本,三郷管理事務所,35.84471,139.84167,1991,239.0,10.0,2023,2,8,2026-05-21T18:37:38+09:00
"35.84472,139.83778",和環橋,市道1260号線,八潮市,八潮市,35.84472,139.83778,1992,27.4,7.2,2021,1,0,2025-11-01T00:00:00+09:00
"35.84482,139.84167",潮郷橋(下り),国道298号,関東地方整備局,北首都国道事務所,35.84482,139.84167,1984,239.0,13.7,2021,2,8,2025-11-01T00:00:01+09:00
"35.84494,139.83922",潮郷橋右岸取付橋(上り),国道298号,関東地方整備局,北首都国道事務所,35.84494,139.83922,1994,244.9,9.0,2025,2,8,2026-07-02T15:54:11+09:00
"35.84497,139.84106",潮郷橋右岸斜路橋(下り),国道298号,関東地方整備局,北首都国道事務所,35.84497,139.84106,1984,52.2,4.0,2021,2,8,2025-11-01T00:00:01+09:00
"35.84517,139.83926",潮郷橋右岸取付橋(下り),国道298号,関東地方整備局,北首都国道事務所,35.84517,139.83926,1983,230.8,9.0,2021,2,8,2025-11-01T00:00:01+09:00
"35.84528,139.83139",境橋,市道0760号線,八潮市,八潮市,35.84528,139.83139,,10.2,7.1,2021,1,0,2025-11-01T00:00:00+09:00
"35.84535,139.83815",八潮東高架橋,常磐自動車道,NEXCO東日本,三郷管理事務所,35.84535,139.83815,1991,341.0,10.0,2023,2,8,2026-05-21T18:38:21+09:00
"35.84546,139.83821",八潮東高架橋,常磐自動車道,NEXCO東日本,三郷管理事務所,35.84546,139.83821,1991,341.0,10.0,2023,2,8,2026-05-21T18:38:39+09:00
"35.84573,139.83742",溝橋20,国道298号,関東地方整備局,北首都国道事務所,35.84627,139.83672,1996,13.0,60.0,2023,2,3,2026-03-11T14:11:08+09:00
"35.84574,139.83839",市道1264号線橋,市道1264号線,八潮市,八潮市,35.84574,139.83839,,7.8,7.9,2025,2,8,2026-03-19T16:28:57+09:00
"35.84600,139.83660",溝橋19,国道298号,関東地方整備局,北首都国道事務所,35.84585,139.83659,1996,13.2,114.0,2023,2,3,2026-03-11T14:11:08+09:00
"35.84616,139.83775",市道1255号線橋,市道1255号線,八潮市,八潮市,35.84616,139.83775,,2.8,6.2,2025,2,8,2026-03-19T16:28:32+09:00
"35.84618,139.83629",八潮第1交差橋(南),国道298号,関東地方整備局,北首都国道事務所,35.84618,139.83629,1994,13.3,16.3,2021,1,0,2025-11-01T00:00:01+09:00
"35.84625,139.83682",溝橋18,国道298号,関東地方整備局,北首都国道事務所,35.84627,139.83672,1996,13.0,94.0,2023,1,0,2025-11-01T00:00:01+09:00
"35.84677,139.83519",八条第1交差橋(南),国道298号,関東地方整備局,北首都国道事務所,35.84677,139.83519,1989,12.7,88.4,2021,1,0,2025-11-01T00:00:01+09:00
"35.84702,139.83540",八条第1交差橋(北),国道298号,関東地方整備局,北首都国道事務所,35.84702,139.8354,1989,12.7,58.4,2024,1,0,2025-11-01T00:00:01+09:00
"35.84714,139.83471",八潮橋,常磐自動車道,NEXCO東日本,三郷管理事務所,35.84714,139.83471,1991,368.0,9.8,2023,2,8,2026-05-21T18:39:32+09:00
"35.84723,139.83478",八潮橋,常磐自動車道,NEXCO東日本,三郷管理事務所,35.84723,139.83478,1991,368.0,9.8,2023,2,8,2026-05-21T18:39:53+09:00
"35.84723,139.83774",八條小橋,県道草加流山線,埼玉県,越谷県土整備事務所,35.84721,139.83776,1968,4.2,15.1,2025,2,8,2026-02-12T15:58:23+09:00
"35.84727,139.83402",八潮立体高架橋(上り),国道298号,関東地方整備局,北首都国道事務所,35.84727,139.83402,1995,273.7,9.0,2024,2,8,2025-11-01T00:00:01+09:00
"35.84740,139.83469",八潮第1交差橋(北),国道298号,関東地方整備局,北首都国道事務所,35.8474,139.83469,1987,13.3,23.6,2024,1,0,2025-11-01T00:00:01+09:00
"35.84763,139.83332",溝橋17,国道298号,関東地方整備局,北首都国道事務所,35.84791,139.83372,1996,13.0,75.0,2023,1,0,2025-11-01T00:00:01+09:00
"35.84768,139.83445",八潮立体高架橋(下り),国道298号,関東地方整備局,北首都国道事務所,35.84768,139.83445,1989,329.6,9.0,2021,2,8,2025-11-01T00:00:01+09:00
"35.84782,139.84122",八條橋側道橋（右）,県道草加流山線,埼玉県,越谷県土整備事務所,35.84782,139.84122,1960,139.3,2.3,2021,2,8,2025-11-01T00:00:00+09:00
"35.84788,139.84119",八條橋,県道草加流山線,埼玉県,越谷県土整備事務所,35.84788,139.84119,1960,139.3,6.6,2021,2,8,2025-11-01T00:00:00+09:00
"35.84811,139.83363",溝橋16,国道298号,関東地方整備局,北首都国道事務所,35.84794,139.83369,1996,13.0,90.0,2023,2,8,2026-03-11T14:11:08+09:00
"35.84815,139.83572",市道1373-2号線橋,市道1373号線,八潮市,八潮市,35.84815,139.83572,,2.1,4.0,2025,2,8,2026-03-19T16:30:07+09:00
"35.84823,139.83703",市道1373-1号線橋,市道1373号線,八潮市,八潮市,35.84775,139.83772,,3.2,3.4,2025,1,0,2026-03-19T16:29:36+09:00
"35.84833,139.83183",八条第2交差橋(南),国道298号,関東地方整備局,北首都国道事務所,35.84833,139.83183,1996,13.3,22.8,2021,1,0,2025-11-01T00:00:01+09:00
"35.84887,139.83042",綾瀬川南放水路横断橋,国道298号,関東地方整備局,北首都国道事務所,35.84887,139.83042,2003,17.4,4.5,2022,2,8,2025-11-01T00:00:01+09:00
"35.84900,139.83015",無名橋(4),国道298号,関東地方整備局,北首都国道事務所,35.849,139.83015,1992,13.3,25.2,2021,2,8,2025-11-01T00:00:01+09:00
"35.84908,139.83143",八条第2交差橋(北),国道298号,関東地方整備局,北首都国道事務所,35.84908,139.83143,1989,13.3,43.9,2024,1,0,2025-11-01T00:00:01+09:00
"35.84963,139.82946",無名橋(10),国道298号,関東地方整備局,北首都国道事務所,35.84963,139.82946,1992,13.3,114.2,2024,1,0,2025-11-01T00:00:01+09:00
"35.85119,139.83579",市道1216号線橋,市道1216号線,八潮市,八潮市,35.85119,139.83579,,2.8,6.4,2025,1,0,2026-03-19T16:27:11+09:00
"35.85194,139.83645",市道1224号線橋,市道1224号線,八潮市,八潮市,35.85194,139.83645,,3.1,5.3,2025,2,8,2026-03-19T16:26:45+09:00
"35.85261,139.83465",市道1208号線橋,市道1208号線,八潮市,八潮市,35.85261,139.83465,,2.9,4.7,2025,1,0,2026-03-19T16:25:28+09:00
"35.85418,139.83424",市道1209号線橋,市道1209号線,八潮市,八潮市,35.85418,139.83424,,2.9,4.6,2025,2,8,2026-03-19T16:25:54+09:00
"35.85494,139.83404",市道1210号線橋,市道1210号線,八潮市,八潮市,35.85494,139.83404,,2.9,4.6,2025,1,0,2026-03-19T16:27:34+09:00
"35.85575,139.83387",市道1205号線橋,市道1205号線,八潮市,八潮市,35.85575,139.83387,,2.9,5.4,2025,2,8,2026-03-31T16:15:32+09:00
"35.85700,139.82989",４号0.882kp（東埼道・上）横断,国道4号,関東地方整備局,大宮国道事務所,35.857,139.82989,,2.3,22.6,2023,1,0,2026-06-12T14:47:36+09:00
"35.85712,139.82942",４号0.888kp（東埼道・下）横断,国道4号,関東地方整備局,大宮国道事務所,35.85712,139.82942,,2.3,18.7,2023,1,0,2026-06-12T14:47:58+09:00
