施設ID,橋梁名,路線名,管理者,管理事務所,緯度,経度,架設年度,橋長,幅員,点検年度,判定区分,措置状況,更新日時
"35.81069,139.84144",市道5210号線橋,市道5210号線,八潮市,八潮市,35.81069,139.84144,,3.0,8.0,2024,1,0,2025-11-01T00:00:00+09:00
"35.81125,139.85171",市道6179号線橋,市道6179号線,八潮市,八潮市,35.81125,139.85171,1985,5.0,5.1,2024,2,8,2025-11-01T00:00:00+09:00
"35.81128,139.83954",市道5202号線橋,市道5202号線,八潮市,八潮市,35.81128,139.83954,,4.0,6.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.81172,139.83196",境橋側道橋(左),県道平方東京線,埼玉県,越谷県土整備事務所,35.81177,139.83198,1971,14.5,1.7,2025,1,0,2026-02-12T16:18:40+09:00
"35.81175,139.83189",境橋,県道平方東京線,埼玉県,越谷県土整備事務所,35.81181,139.83192,1960,14.0,6.0,2025,2,8,2026-02-12T16:12:24+09:00
"35.81202,139.84103",市道5204号線橋,市道5204号線,八潮市,八潮市,35.81202,139.84103,,3.0,6.0,2025,1,0,2026-03-19T17:08:36+09:00
"35.81211,139.83899",市道5201号線橋,市道5201号線,八潮市,八潮市,35.81211,139.83899,,4.0,6.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.81230,139.83758",市道0720-1号線橋,市道0720号線,八潮市,八潮市,35.8123,139.83758,,3.0,12.0,2024,1,0,2025-11-01T00:00:00+09:00
"35.81231,139.85178",市道6180号線橋,市道6180号線,八潮市,八潮市,35.81231,139.85178,1985,4.0,5.3,2024,2,8,2025-11-01T00:00:00+09:00
"35.81251,139.83873",市道0720-2号線橋,市道0720号線,八潮市,八潮市,35.81251,139.83873,,4.0,12.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.81274,139.83018",市道5320号線橋,市道5320号線,八潮市,八潮市,35.81274,139.83018,,3.4,6.0,2025,1,0,2026-03-31T16:16:23+09:00
